aah,"express admiration and pleasure by uttering `ooh' or `aah'; "They oohed and aahed when they unwrapped the presents""
aahed
aahing
aahs,"express admiration and pleasure by uttering `ooh' or `aah'; "They oohed and aahed when they unwrapped the presents""
aal
aalii,"a small Hawaiian tree with hard dark wood"
aaliis,"a small Hawaiian tree with hard dark wood"
aals
aardvark,"nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata"
aardvarks,"nocturnal burrowing mammal of the grasslands of Africa that feeds on termites; sole extant representative of the order Tubulidentata"
aardwolf,"striped hyena of southeast Africa that feeds chiefly on insects"
aardwolves,"striped hyena of southeast Africa that feeds chiefly on insects"
aas,"an associate degree in applied science"
aasvogel
aasvogels
