uvea,"the part of the eye that contains the iris and ciliary body and choroid"
uveal,"of or relating to the uvea of the eye"
uveas,"the part of the eye that contains the iris and ciliary body and choroid"
uveitic
uveitis,"inflammation of the uvea of the eye"
uveitises
uveous,"of or relating to the uvea of the eye"
uvula,"a small pendant fleshy lobe at the back of the soft palate"
uvulae,"a small pendant fleshy lobe at the back of the soft palate"
uvular,"of or relating to or associated with the uvula; "the uvular r""
uvularly
uvulars,"of or relating to or associated with the uvula; "the uvular r""
uvulas,"a small pendant fleshy lobe at the back of the soft palate"
uvulitis,"inflammation of the uvula"
uvulitises
